mlb_api_id,team_abbreviation,status,2026,acquired
657585,BBS,FA1,0.74,T 11/24 (GIL) (G)
666129,RIV,FA1,1.01,FA 1/26
641598,PHO,FA1,2.955241958,T 1/18 (CLI)
681508,SAR,FA1,0.4,FA 8/25
688107,SAC,O,0,D 2021
592332,RIV,FA2,21.024032,FA 1/26
680869,LAK,O2,0.6,T 11/22 (CHA)
806188,SCS,O1,0.5,D 2022
661563,GIL,O3,0.7,T 1/22 (SCS)
656457,CHI,A2,0.4,FA 8/25
687551,ECB,O1,0.4,D 2022
669302,NOR,HD4,10.144921,D2019
687362,CHA,O1,0.4,D 2019
665926,WYO,FA3,9.786576,FA 1/26
656464,LAK,FA2,3.5,FA 1/25
669372,JAC,O2,0.6,D 2020
608337,DEL,FA4,2,FA 1/25
687830,SAR,O1,0.4,D 2019
607192,ECB,FA1,15.35509853,T 7/16 JER
502671,NEW,FA1,12.983596,T 11/25 (CHA)
596295,SIL,FA1,3.51033,FA 1/26
672782,LRR,O1,0.4,T 11/24 (SCS)
693304,GIL,O3,0.525,T 1/23 (EMP)
663853,NOR,A1,1.784705,D 2018
682790,WYO,O,0,D 2021
696100,ECB,O2,0.6,D 2021
685299,JAC,FA1,0.3257118,FA 1/26
676467,PTR,O1,0.5,D 2022
669022,CLI,A1,5.437002,T 11/23 (MAI)
669357,SHS,A1,0.56,T 11/23 (KEL)
700669,MEM,O1,0.4,D 2021
701552,CHI,O,0,D 2021
660813,RIV,FA1,0.7,FA 1/26
543243,CHI,FA1,17.80543067,T 11/24 (BBS)
656484,ECB,O,0,D 2017
680686,EMP,A2,0.42,T 10/19 (BAR)
643338,BBS,FA1,0.4,FA 1/23 (G)
668881,NEW,HD5,13.616487,D 2017
682985,SAC,A1,3.380884,D 2019
545341,CHA,FA1,0.5586,FA 1/26
663757,PHO,FA1,4.669373282,T 7/24 (QCL)
687093,PON,A1,0.41,D 2019
675627,EMP,O3,0.4,T 11/23 (BBS)
692285,JAC,O,0,D 2022
665489,MAI,FA5,19.522629,D 2016
666971,CLI,FA2,5.2,FA 1/25
687473,WYO,FA2,3.311221,FA 1/26
692294,CHA,O,0,D 2020
694203,NOR,O,0,D 2022
623352,SPR,FA2,7.5,T 11/25 (VAN)
664059,NEW,FA1,0.5,FA 7/25
669084,SCS,O3,0.5,D 2017
678020,SAC,O1,0.4,T 11/25 (NEW)
666152,LRR,O2,0.6,T 7/24 (SCS)
641656,MAI,FA1,0.4,FA 1/26
641658,SAN,FA1,0.74,D 2016
676106,PTR,O2,0.48,D 2020
669724,SAN,O2,0.6,T 11/19 (GIL)
664023,NEW,FA3,7.93209,T 11/22 (MAI)
547180,SCS,FA3,14.35472136,T 11/23 EMP
802419,MEM,O,0,T 3/25 (VAN)
802686,CHA,O,0,D 2022
687957,GIL,FA1,0,FA 4/25
663687,SPR,FA1,2.182852388,FA 1/24 (G)
671739,CHI,A1,1.755749473,D 2019
690986,CHI,O3,0.578812,D 2020
606996,BBS,FA2,0.4,FA 1/26
701643,SAC,O1,0.5,R5 2025 (JAC)/D 2021
640451,JAC,FA1,2.74750464,T 1/25 (SCS) (G)
690987,MAI,O1,0.5,T 7/25 (DEL)
663647,VAN,A3,1.24343,T 1/26 (PON)
695247,DEL,O,0,T 10/25 (CHA)
669720,EMP,A3,1.71413632,T 4/18 (BOU)
687396,SAN,FA1,0,FA 8/25
571760,MAI,FA1,6.321499,FA 1/26
595978,LAK,FA1,0.4,FA 1/25
641680,PUG,A2,0.693756183,T 1/25 (SCS)
623168,NEW,FA1,0.74,FA 7/25
680737,SAR,O1,0.5,D 2018
664854,PON,FA2,4.951998,T 1/26 (STL)
693311,CLI,O,0,D 2020
701656,VAN,O,0,D 2022
683002,WYO,A1,4.837415011,T 1/21 (CHA)
543294,LAK,FA1,9.007518,FA 1/26
683618,MAI,O,0,D 2021
678692,VAN,O2,0.6,FA 11/24
669371,SIL,O1,0.4,D 2020
656529,PHO,A2,0.56,T 11/20 (CAR)
623474,NEW,FA2,4.218286,FA 8/25
687231,DEL,O1,0.4,T 7/23 (MIN)
681715,PUG,O1,0.5,D 2019
678226,RIV,FA1,0.4,FA 1/26
606192,SIL,FA1,15.965492,FA 1/26
571771,STL,FA1,1.5,FA 1/26
671056,GIL,O2,0.6,T 1/23 (EMP)
645444,MEM,FA1,0.576,T 5/23 (MIN)
682120,RIV,O2,0.42,D 2018
687792,NOR,O2,0,D 2019
689414,DEL,O1,0.5,D 2021
663855,SIL,FA1,5.057239,FA 1/26
543309,ECB,FA1,1.1943936,FA 7/19
656537,PHO,FA1,0.74,FA 4/24 (G)
657612,SHS,FA1,2.2374,FA 1/25
677956,SHS,O,0,D 2019
663546,SAC,FA4,1,FA 1/25
687863,NOR,O2,0.4,D 2019
663538,PHO,A3,11.63552707,T 11/20 (CAR)
656546,CHI,FA2,7.879555032,T 6/21 (NOR)
694851,SAN,O,0,T 10/22 (SPR)
680684,SAR,O1,0.5,D 2022
702616,SHS,O2,0.6,D 2022
605280,NOR,FA1,5.28,FA 1/22 (G)
656550,RIV,FA3,8.073494,FA 1/26
663947,SCS,O3,0.7,T 4/25 (PUG)
690990,PUG,O1,0.5,D 2023
687462,NEW,O1,0.5,T 10/25 (GIL)
656555,CHA,FA1,3,T 11/25 (DEL) G
656557,WYO,A3,6.3828184,T 1/23 (PON)
691781,VAN,O1,0.5,T 7/25 (SPR)
605288,PTR,FA1,7.48008,FA 4/25
690992,STL,O,0,T 2/22 (SCS)
669165,ECB,O,0,D 2020
676428,SHS,FA2,4.16745,T 10/25 (SCS)
628451,LRR,A2,0.59536,T 7/18 (CLI) 
578428,SIL,FA1,4.175311,FA 1/26
628452,STL,FA2,5.371276,FA 1/26
684007,GIL,FA4,23.1,FA 1/25
663697,PTR,A2,1.0852,D 2018
663623,MEM,O3,0.6,D 2018
664728,MEM,A1,0.900771,T 5/23 (MIN)
592426,CHA,FA1,0.48,T 11/23 (GIL)
656577,CHA,FA1,0.74,FA 1/25
669236,MAI,FA3,2.2,FA 1/26
643376,BBS,A2,0.7,T 11/24 (NEW)
445276,LAK,FA2,5.5,FA 1/26
664299,CLI,A3,2.060933642,T 11/24 (BBS)
643377,SAR,A2,3.49549,T 7/17 (MIN)
680777,CHI,A3,2.003446848,D 2018
695600,NOR,O,0,D 2021
695549,SHS,O1,0.4,T 11/25 (SCS)
669369,CHI,A1,0.4,FA 4/25
572955,SAN,FA1,1.1599212,FA 4/23
687859,MEM,O1,0.4,D 2022
666134,JAC,O3,0.6,T 11/17 (LAT)
663330,RIV,O1,0.5,MLFA 23
683003,SCS,O2,0,T 7/22 (QCL)
691458,GIL,O,0,D 2020
690829,SPR,O2,0.41,D 2022
592450,EMP,FA3,18.645534,T 11/20 (MIN)
666397,VAN,O3,0.48,T 8/25 (GIL)
673962,LAK,O3,0.7,T 11/25 (NEW)
690291,MAI,O2,0.4,D 2022
596001,CHA,FA1,8.825252,FA 1/24 (G)
676083,NEW,A2,1.42574,FA 7/25
592454,WYO,FA1,0.48,T 7/23 (BBS)
691720,LRR,O,0,T 7/24 (MIN)
692216,NEW,O1,0.401,D 2023
807712,WYO,O1,0.5,D 2023
680577,CHA,FA1,0.4,FA 1/26
690993,PUG,O2,0.6,T 1/25 (SPR)
656605,JAC,FA4,17.1,FA 1/25
641745,SCS,FA1,1.592015,T 11/25 (PON) G
